,Gender,scholarship,Target,Age at enrollment,Tasa_1st,Tasa_2nd,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Course_11,Course_12,Course_13,Course_14,Course_15,Course_16,Course_17
0,1,0,0,-0.44221211406891475,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,-0.44221211406891475,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,1,2.751894010712527,0.35272104438393903,0.842316352390619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,3.3907152356688153,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,0,0,-0.18668362408639944,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,1,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,-0.6977406040514301,0.35272104438393903,-0.8227745022943429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,1,-0.6977406040514301,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,0,1,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,1,1,-0.3144478690776571,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,1,1,-0.6977406040514301,0.2645633510773144,0.842316352390619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,-0.44221211406891475,0.35272104438393903,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,0,0,1,-0.44221211406891475,0.2645633510773144,0.3427890959851304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,0,1,1,-0.3144478690776571,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,-0.6977406040514301,0.4629181610172193,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,1,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0,1,-0.5699763590601724,0.4156908253172418,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,0,0,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,0,0,1,-0.44221211406891475,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,1,0,1,-0.44221211406891475,0.7935095109170607,0.009770925048137806,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,1,1.3464873158086925,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,1.7297800507824657,-1.851221288281671,-1.2985147464900462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,2.4963655207300115,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,0,0,0,4.029536460625104,-1.3222751284419247,-0.6562654168258467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,0,0,1,1.9853085407649809,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,-0.44221211406891475,-0.5288558886823052,-0.4065017886231024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,0,0,0,-0.6977406040514301,-0.08806742214918344,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,0,0,1,-0.18668362408639944,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,0,0,1,-0.18668362408639944,0.03787213971742315,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,0,0,-0.44221211406891475,-0.08806742214918344,0.4260436387193787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,0,0,0,0.7076660908524043,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0,1,-0.6977406040514301,0.7935095109170607,0.4260436387193787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,0,1,1,-0.18668362408639944,0.4156908253172418,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,1,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,1,1,-0.5699763590601724,0.35272104438393903,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,0,1,1,0.0688448658961159,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,0,0,1,-0.5699763590601724,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,0,0,0,0.4521376008698889,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,0,0,0,1.9853085407649809,-1.851221288281671,-1.6553199296368237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,0,0,0,0.4521376008698889,0.35272104438393903,0.6152585085699422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,0,0,1,-0.6977406040514301,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,1,-0.6977406040514301,0.4156908253172418,0.5301118171371886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,0,1,1,-0.3144478690776571,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1,0,0,0.7076660908524043,0.03787213971742315,-0.09429725336967207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,1,1,1,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,1,-0.05891937909514178,0.7935095109170607,0.842316352390619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,0,0,-0.5699763590601724,0.7935095109170607,0.3427890959851304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,1,0,1,0.0688448658961159,0.7935095109170607,0.842316352390619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,1,0,0,-0.5699763590601724,-1.851221288281671,-1.6553199296368237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,0,0,-0.6977406040514301,-0.5288558886823052,-1.2390472159655834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
