,Age at enrollment,Unemployment rate,Inflation rate,GDP,Enrolled1,Approved1,Enrolled2,Approved2,Tasa_1st,Tasa_2nd
0,20,10.8,1.4,1.74,0,0,0,0,0.0,0.0
1,19,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
2,19,10.8,1.4,1.74,6,0,6,0,0.0,0.0
3,20,9.4,-0.8,-3.12,6,6,6,5,100.0,83.33333333333334
4,45,13.9,-0.3,0.79,6,5,6,6,83.33333333333334,100.0
5,50,16.2,0.3,-0.92,5,5,5,5,100.0,100.0
6,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
7,22,15.5,2.8,-4.06,5,0,5,0,0.0,0.0
8,21,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
9,18,8.9,1.4,3.51,6,5,6,2,83.33333333333334,33.33333333333333
10,18,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
11,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
12,19,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
13,21,8.9,1.4,3.51,6,6,6,5,100.0,83.33333333333334
14,18,10.8,1.4,1.74,5,4,5,5,80.0,100.0
15,20,15.5,2.8,-4.06,6,5,6,0,83.33333333333334,0.0
16,18,10.8,1.4,1.74,6,1,6,2,16.666666666666664,33.33333333333333
17,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
18,20,10.8,1.4,1.74,5,4,5,4,80.0,80.0
19,18,16.2,0.3,-0.92,7,6,7,6,85.71428571428571,85.71428571428571
20,21,11.1,0.6,2.02,0,0,0,0,0.0,0.0
21,20,12.7,3.7,-1.7,7,7,8,8,100.0,100.0
22,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
23,19,11.1,0.6,2.02,6,6,6,6,100.0,100.0
24,19,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
25,18,7.6,2.6,0.32,6,5,6,4,83.33333333333334,66.66666666666666
26,21,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
27,18,9.4,-0.8,-3.12,5,5,5,4,100.0,80.0
28,20,16.2,0.3,-0.92,5,5,5,5,100.0,100.0
29,19,16.2,0.3,-0.92,7,6,7,6,85.71428571428571,85.71428571428571
30,21,16.2,0.3,-0.92,6,5,6,5,83.33333333333334,83.33333333333334
31,20,8.9,1.4,3.51,6,6,6,4,100.0,66.66666666666666
32,18,8.9,1.4,3.51,5,3,5,2,60.0,40.0
33,19,12.4,0.5,1.79,6,6,6,6,100.0,100.0
34,34,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
35,37,8.9,1.4,3.51,7,0,7,1,0.0,14.285714285714285
36,43,7.6,2.6,0.32,5,0,5,0,0.0,0.0
37,55,16.2,0.3,-0.92,5,1,5,2,20.0,40.0
38,39,7.6,2.6,0.32,5,5,5,5,100.0,100.0
39,20,12.4,0.5,1.79,6,3,6,3,50.0,50.0
40,18,12.7,3.7,-1.7,6,4,5,0,66.66666666666666,0.0
41,22,8.9,1.4,3.51,5,5,5,5,100.0,100.0
42,22,11.1,0.6,2.02,7,5,8,7,71.42857142857143,87.5
43,20,12.4,0.5,1.79,6,4,6,5,66.66666666666666,83.33333333333334
44,29,16.2,0.3,-0.92,5,0,5,0,0.0,0.0
45,24,7.6,2.6,0.32,5,2,5,3,40.0,60.0
46,18,11.1,0.6,2.02,6,6,6,5,100.0,83.33333333333334
47,22,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
48,21,12.4,0.5,1.79,6,6,6,6,100.0,100.0
49,19,12.7,3.7,-1.7,6,5,6,6,83.33333333333334,100.0
50,24,12.4,0.5,1.79,6,6,6,6,100.0,100.0
51,19,9.4,-0.8,-3.12,8,6,8,6,75.0,75.0
52,20,9.4,-0.8,-3.12,6,4,6,3,66.66666666666666,50.0
53,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
54,27,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
55,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
56,39,12.4,0.5,1.79,6,0,6,0,0.0,0.0
57,27,12.4,0.5,1.79,6,5,11,10,83.33333333333334,90.9090909090909
58,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
59,18,7.6,2.6,0.32,0,0,0,0,0.0,0.0
60,18,16.2,0.3,-0.92,7,6,8,7,85.71428571428571,87.5
61,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
62,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
63,19,10.8,1.4,1.74,6,5,6,1,83.33333333333334,16.666666666666664
64,24,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
65,29,13.9,-0.3,0.79,7,5,8,5,71.42857142857143,62.5
66,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
67,23,8.9,1.4,3.51,6,6,6,6,100.0,100.0
68,19,16.2,0.3,-0.92,5,5,5,4,100.0,80.0
69,26,12.7,3.7,-1.7,6,6,6,5,100.0,83.33333333333334
70,18,7.6,2.6,0.32,5,0,5,0,0.0,0.0
71,24,13.9,-0.3,0.79,7,7,8,8,100.0,100.0
72,19,15.5,2.8,-4.06,0,0,0,0,0.0,0.0
73,18,12.4,0.5,1.79,6,3,6,1,50.0,16.666666666666664
74,18,10.8,1.4,1.74,6,6,6,3,100.0,50.0
75,18,10.8,1.4,1.74,5,3,5,3,60.0,60.0
76,21,9.4,-0.8,-3.12,6,4,6,1,66.66666666666666,16.666666666666664
77,19,8.9,1.4,3.51,6,6,6,6,100.0,100.0
78,22,16.2,0.3,-0.92,7,7,8,8,100.0,100.0
79,33,10.8,1.4,1.74,6,6,6,6,100.0,100.0
80,20,10.8,1.4,1.74,6,5,6,5,83.33333333333334,83.33333333333334
81,35,10.8,1.4,1.74,1,0,5,0,0.0,0.0
82,24,12.4,0.5,1.79,12,6,12,10,50.0,83.33333333333334
83,18,12.7,3.7,-1.7,5,5,5,3,100.0,60.0
84,33,9.4,-0.8,-3.12,6,6,6,5,100.0,83.33333333333334
85,22,10.8,1.4,1.74,8,7,8,7,87.5,87.5
86,25,9.4,-0.8,-3.12,5,4,5,5,80.0,100.0
87,20,7.6,2.6,0.32,6,6,6,5,100.0,83.33333333333334
88,23,11.1,0.6,2.02,5,4,5,5,80.0,100.0
89,18,15.5,2.8,-4.06,5,2,5,0,40.0,0.0
90,24,13.9,-0.3,0.79,7,0,7,0,0.0,0.0
91,21,8.9,1.4,3.51,6,6,6,6,100.0,100.0
92,26,8.9,1.4,3.51,6,2,6,0,33.33333333333333,0.0
93,39,7.6,2.6,0.32,6,3,6,0,50.0,0.0
94,44,12.7,3.7,-1.7,8,8,6,6,100.0,100.0
95,19,13.9,-0.3,0.79,5,5,5,3,100.0,60.0
96,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
97,18,12.4,0.5,1.79,7,7,8,8,100.0,100.0
98,19,12.7,3.7,-1.7,5,5,5,5,100.0,100.0
99,19,13.9,-0.3,0.79,7,4,7,0,57.14285714285714,0.0
100,21,8.9,1.4,3.51,10,8,9,5,80.0,55.55555555555556
101,20,16.2,0.3,-0.92,0,0,0,0,0.0,0.0
102,36,9.4,-0.8,-3.12,6,0,6,0,0.0,0.0
103,43,15.5,2.8,-4.06,18,18,13,13,100.0,100.0
104,19,11.1,0.6,2.02,6,0,6,0,0.0,0.0
105,20,11.1,0.6,2.02,10,10,11,11,100.0,100.0
106,19,16.2,0.3,-0.92,6,0,6,0,0.0,0.0
107,20,15.5,2.8,-4.06,6,4,6,4,66.66666666666666,66.66666666666666
108,20,12.4,0.5,1.79,7,6,7,5,85.71428571428571,71.42857142857143
109,20,16.2,0.3,-0.92,7,6,7,3,85.71428571428571,42.857142857142854
110,18,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
111,18,8.9,1.4,3.51,5,3,5,3,60.0,60.0
112,19,10.8,1.4,1.74,5,5,5,5,100.0,100.0
113,18,10.8,1.4,1.74,6,6,6,6,100.0,100.0
114,18,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
115,20,13.9,-0.3,0.79,7,6,7,7,85.71428571428571,100.0
116,20,7.6,2.6,0.32,6,2,6,4,33.33333333333333,66.66666666666666
117,20,12.4,0.5,1.79,5,3,5,3,60.0,60.0
118,18,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
119,18,11.1,0.6,2.02,5,5,5,5,100.0,100.0
120,21,9.4,-0.8,-3.12,6,3,6,2,50.0,33.33333333333333
121,19,16.2,0.3,-0.92,5,5,5,4,100.0,80.0
122,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
123,19,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
124,19,15.5,2.8,-4.06,6,6,6,6,100.0,100.0
125,19,13.9,-0.3,0.79,7,5,7,0,71.42857142857143,0.0
126,20,12.4,0.5,1.79,6,6,6,5,100.0,83.33333333333334
127,18,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
128,18,12.4,0.5,1.79,6,6,6,6,100.0,100.0
129,19,12.4,0.5,1.79,7,7,8,8,100.0,100.0
130,18,13.9,-0.3,0.79,7,7,8,7,100.0,87.5
131,18,7.6,2.6,0.32,6,6,6,6,100.0,100.0
132,19,8.9,1.4,3.51,5,5,5,5,100.0,100.0
133,19,13.9,-0.3,0.79,7,5,7,0,71.42857142857143,0.0
134,20,7.6,2.6,0.32,9,9,7,7,100.0,100.0
135,19,12.4,0.5,1.79,6,5,6,4,83.33333333333334,66.66666666666666
136,20,7.6,2.6,0.32,5,4,5,4,80.0,80.0
137,18,8.9,1.4,3.51,6,6,6,6,100.0,100.0
138,20,11.1,0.6,2.02,7,5,8,7,71.42857142857143,87.5
139,18,13.9,-0.3,0.79,7,7,8,8,100.0,100.0
140,19,7.6,2.6,0.32,7,6,7,6,85.71428571428571,85.71428571428571
141,19,12.4,0.5,1.79,6,6,6,5,100.0,83.33333333333334
142,22,8.9,1.4,3.51,5,0,5,0,0.0,0.0
143,19,12.4,0.5,1.79,6,6,6,6,100.0,100.0
144,19,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
145,19,9.4,-0.8,-3.12,6,5,6,5,83.33333333333334,83.33333333333334
146,19,7.6,2.6,0.32,5,0,5,0,0.0,0.0
147,20,7.6,2.6,0.32,6,5,6,3,83.33333333333334,50.0
148,18,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
149,20,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
