,Marital status,attendance,Esn,Debtor,fees,Gender,scholarship,Target,Sector_Agronomy and Veterinary Science,Sector_Business and Communication,Sector_Education,Sector_Renewable Energies,Sector_Social Services and Health,Sector_Technology and Design,Sector_Tourism,Age at enrollment,Unemployment rate,Inflation rate,GDP,Enrolled1,Approved1,Enrolled2,Approved2,Tasa_1st,Tasa_2nd
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,20,10.8,1.4,1.74,0,0,0,0,0.0,0.0
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,19,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,19,10.8,1.4,1.74,6,0,6,0,0.0,0.0
3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,20,9.4,-0.8,-3.12,6,6,6,5,100.0,83.33333333333334
4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,45,13.9,-0.3,0.79,6,5,6,6,83.33333333333334,100.0
5,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,50,16.2,0.3,-0.92,5,5,5,5,100.0,100.0
6,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,22,15.5,2.8,-4.06,5,0,5,0,0.0,0.0
8,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,18,8.9,1.4,3.51,6,5,6,2,83.33333333333334,33.33333333333333
10,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18,13.9,-0.3,0.79,6,6,6,5,100.0,83.33333333333334
11,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
13,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,21,8.9,1.4,3.51,6,6,6,5,100.0,83.33333333333334
14,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,18,10.8,1.4,1.74,5,4,5,5,80.0,100.0
15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,20,15.5,2.8,-4.06,6,5,6,0,83.33333333333334,0.0
16,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,18,10.8,1.4,1.74,6,1,6,2,16.666666666666664,33.33333333333333
17,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
18,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,20,10.8,1.4,1.74,5,4,5,4,80.0,80.0
19,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,18,16.2,0.3,-0.92,7,6,7,6,85.71428571428571,85.71428571428571
20,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,21,11.1,0.6,2.02,0,0,0,0,0.0,0.0
21,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,20,12.7,3.7,-1.7,7,7,8,8,100.0,100.0
22,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,12.7,3.7,-1.7,8,7,8,7,87.5,87.5
23,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,19,11.1,0.6,2.02,6,6,6,6,100.0,100.0
24,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,19,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
25,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,18,7.6,2.6,0.32,6,5,6,4,83.33333333333334,66.66666666666666
26,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,21,16.2,0.3,-0.92,6,6,6,6,100.0,100.0
27,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,18,9.4,-0.8,-3.12,5,5,5,4,100.0,80.0
28,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,20,16.2,0.3,-0.92,5,5,5,5,100.0,100.0
29,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,19,16.2,0.3,-0.92,7,6,7,6,85.71428571428571,85.71428571428571
30,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,21,16.2,0.3,-0.92,6,5,6,5,83.33333333333334,83.33333333333334
31,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,20,8.9,1.4,3.51,6,6,6,4,100.0,66.66666666666666
32,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,18,8.9,1.4,3.51,5,3,5,2,60.0,40.0
33,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,19,12.4,0.5,1.79,6,6,6,6,100.0,100.0
34,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,34,13.9,-0.3,0.79,5,5,5,5,100.0,100.0
35,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,37,8.9,1.4,3.51,7,0,7,1,0.0,14.285714285714285
36,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,43,7.6,2.6,0.32,5,0,5,0,0.0,0.0
37,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,55,16.2,0.3,-0.92,5,1,5,2,20.0,40.0
38,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,39,7.6,2.6,0.32,5,5,5,5,100.0,100.0
39,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,20,12.4,0.5,1.79,6,3,6,3,50.0,50.0
40,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,18,12.7,3.7,-1.7,6,4,5,0,66.66666666666666,0.0
41,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,22,8.9,1.4,3.51,5,5,5,5,100.0,100.0
42,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,22,11.1,0.6,2.02,7,5,8,7,71.42857142857143,87.5
43,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,12.4,0.5,1.79,6,4,6,5,66.66666666666666,83.33333333333334
44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,29,16.2,0.3,-0.92,5,0,5,0,0.0,0.0
45,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,24,7.6,2.6,0.32,5,2,5,3,40.0,60.0
46,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,11.1,0.6,2.02,6,6,6,5,100.0,83.33333333333334
47,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,22,11.1,0.6,2.02,7,6,8,7,85.71428571428571,87.5
48,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,21,12.4,0.5,1.79,6,6,6,6,100.0,100.0
49,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,19,12.7,3.7,-1.7,6,5,6,6,83.33333333333334,100.0
50,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,24,12.4,0.5,1.79,6,6,6,6,100.0,100.0
51,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,19,9.4,-0.8,-3.12,8,6,8,6,75.0,75.0
52,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,20,9.4,-0.8,-3.12,6,4,6,3,66.66666666666666,50.0
53,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,19,7.6,2.6,0.32,5,5,5,5,100.0,100.0
54,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,27,9.4,-0.8,-3.12,5,5,5,5,100.0,100.0
55,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,15.5,2.8,-4.06,7,7,8,8,100.0,100.0
56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,39,12.4,0.5,1.79,6,0,6,0,0.0,0.0
57,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,27,12.4,0.5,1.79,6,5,11,10,83.33333333333334,90.9090909090909
58,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,9.4,-0.8,-3.12,8,8,8,8,100.0,100.0
59,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,18,7.6,2.6,0.32,0,0,0,0,0.0,0.0
60,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,18,16.2,0.3,-0.92,7,6,8,7,85.71428571428571,87.5
61,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,13.9,-0.3,0.79,6,6,6,6,100.0,100.0
62,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
63,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,19,10.8,1.4,1.74,6,5,6,1,83.33333333333334,16.666666666666664
64,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,24,12.7,3.7,-1.7,6,0,6,0,0.0,0.0
65,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,29,13.9,-0.3,0.79,7,5,8,5,71.42857142857143,62.5
66,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,19,10.8,1.4,1.74,0,0,0,0,0.0,0.0
67,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,23,8.9,1.4,3.51,6,6,6,6,100.0,100.0
68,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,19,16.2,0.3,-0.92,5,5,5,4,100.0,80.0
69,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,26,12.7,3.7,-1.7,6,6,6,5,100.0,83.33333333333334
70,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,18,7.6,2.6,0.32,5,0,5,0,0.0,0.0
71,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,24,13.9,-0.3,0.79,7,7,8,8,100.0,100.0
72,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,19,15.5,2.8,-4.06,0,0,0,0,0.0,0.0
73,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,18,12.4,0.5,1.79,6,3,6,1,50.0,16.666666666666664
74,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,18,10.8,1.4,1.74,6,6,6,3,100.0,50.0
75,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,18,10.8,1.4,1.74,5,3,5,3,60.0,60.0
76,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,21,9.4,-0.8,-3.12,6,4,6,1,66.66666666666666,16.666666666666664
77,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,19,8.9,1.4,3.51,6,6,6,6,100.0,100.0
78,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,22,16.2,0.3,-0.92,7,7,8,8,100.0,100.0
79,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,33,10.8,1.4,1.74,6,6,6,6,100.0,100.0
80,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,20,10.8,1.4,1.74,6,5,6,5,83.33333333333334,83.33333333333334
81,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,35,10.8,1.4,1.74,1,0,5,0,0.0,0.0
82,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,24,12.4,0.5,1.79,12,6,12,10,50.0,83.33333333333334
